"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.515860450E-1,2.290744707E-2,-2.083813995E-1,-1.437060535E-1,2.541633109E-1
2.535858450E-1,1.924225502E-2,-1.937206388E-1,-1.424843222E-1,2.412462069E-1
2.555855780E-1,1.130100712E-2,-1.735620946E-1,-1.382082552E-1,2.221554303E-1
2.575853110E-1,1.007927675E-2,-1.662317067E-1,-1.388191283E-1,2.168071090E-1
2.595850440E-1,5.192354787E-3,-1.442405581E-1,-1.345430762E-1,1.973173548E-1
2.615847770E-1,9.162978968E-4,-1.314123869E-1,-1.320996135E-1,1.863340091E-1
2.635845100E-1,-8.246680722E-3,-1.075886413E-1,-1.266018152E-1,1.663470562E-1
2.655838100E-1,-1.740965992E-2,-5.566509441E-2,-1.149953827E-1,1.289404399E-1
2.675835430E-1,-1.740965992E-2,-5.566509441E-2,-1.149953827E-1,1.289404399E-1
2.695832760E-1,-1.985312067E-2,-4.161519557E-2,-1.131627858E-1,1.221956914E-1
2.715830090E-1,-1.924225502E-2,-1.718058437E-2,-1.033889428E-1,1.065584832E-1
2.735827420E-1,-2.046398632E-2,-4.352414981E-3,-1.033889428E-1,1.054845569E-1
2.755824750E-1,-1.802052557E-2,2.069306001E-2,-9.789115191E-2,1.016642498E-1
2.775822080E-1,-2.046398632E-2,3.168863431E-2,-9.361509979E-2,1.009293376E-1
2.795819410E-1,-1.802052557E-2,5.184718594E-2,-9.239336848E-2,1.074681561E-1
2.815816740E-1,-1.069014147E-2,7.444920391E-2,-8.872817457E-2,1.163170325E-1
2.835814070E-1,-7.024950348E-3,7.933612168E-2,-8.872817457E-2,1.192319550E-1
2.855812070E-1,1.191187184E-2,1.056033298E-1,-8.445212245E-2,1.357428339E-1
2.875809730E-1,1.191187184E-2,1.056033298E-1,-8.445212245E-2,1.357428339E-1
2.895800390E-1,1.191187184E-2,1.080467924E-1,-8.628471941E-2,1.387842025E-1
2.915797720E-1,2.596177347E-2,1.153771728E-1,-8.445212245E-2,1.453205652E-1
2.935795050E-1,3.329215571E-2,1.159880385E-1,-8.506298810E-2,1.476391027E-1
2.955792380E-1,4.795292020E-2,1.239292845E-1,-8.200865984E-2,1.561517544E-1
