"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.223064020E-1,-1.052215338E0,-2.780735016E0,-8.872817457E-2,2.974477607E0
4.243062020E-1,-1.077260852E0,-2.925509930E0,-1.369865239E-1,3.120555175E0
4.263059350E-1,-1.094975948E0,-2.996981144E0,-1.632537395E-1,3.194920983E0
4.283056680E-1,-1.134682178E0,-3.136869431E0,-2.212859392E-1,3.343115454E0
4.303054010E-1,-1.207375169E0,-3.290196657E0,-2.603813112E-1,3.514391451E0
4.323051340E-1,-1.248303175E0,-3.368998289E0,-2.725986242E-1,3.603154215E0
4.343048670E-1,-1.338100314E0,-3.504610300E0,-2.976440787E-1,3.763163271E0
4.363046000E-1,-1.493870974E0,-3.654272318E0,-3.452915847E-1,3.962900824E0
4.383043330E-1,-1.493870974E0,-3.654272318E0,-3.452915847E-1,3.962900824E0
4.403041330E-1,-1.611157060E0,-3.742847681E0,-3.782783151E-1,4.092411309E0
4.423038660E-1,-1.667356730E0,-3.778888702E0,-3.904955983E-1,4.148802852E0
4.443035990E-1,-1.797470927E0,-3.839364529E0,-4.204280078E-1,4.260091716E0
4.463033320E-1,-1.858557463E0,-3.863799095E0,-4.363104999E-1,4.309703719E0
4.483030650E-1,-1.979508877E0,-3.904116154E0,-4.741841555E-1,4.402888705E0
4.503027980E-1,-2.093129873E0,-3.925496340E0,-5.218316317E-1,4.479176535E0
4.523025310E-1,-2.143831491E0,-3.927939892E0,-5.529857874E-1,4.508937629E0
4.543022640E-1,-2.238515615E0,-3.921831131E0,-6.250678897E-1,4.558774117E0
4.563020640E-1,-2.359467030E0,-3.870518446E0,-7.588473558E-1,4.596068648E0
4.583013300E-1,-2.359467030E0,-3.870518446E0,-7.588473558E-1,4.596068648E0
4.603010630E-1,-2.426051378E0,-3.817984104E0,-8.565858006E-1,4.603962114E0
4.623007960E-1,-2.452929497E0,-3.788662672E0,-9.066767693E-1,4.603573690E0
4.643005290E-1,-2.508518219E0,-3.726965189E0,-1.011134744E0,4.604924174E0
4.663002620E-1,-2.559219837E0,-3.661602736E0,-1.118036151E0,4.605099956E0
4.682999950E-1,-2.579989433E0,-3.630448580E0,-1.169348836E0,4.604766994E0
4.702997950E-1,-2.619695663E0,-3.571194649E0,-1.273806810E0,4.608559469E0
4.722995950E-1,-2.639243364E0,-3.539429665E0,-1.323286891E0,4.609149171E0
4.742993280E-1,-2.678949594E0,-3.483840942E0,-1.416749239E0,4.617477347E0
4.762990610E-1,-2.735759974E0,-3.410537004E0,-1.534035325E0,4.633509433E0
4.782982940E-1,-2.735759974E0,-3.410537004E0,-1.534035325E0,4.633509433E0
4.802980270E-1,-2.768135786E0,-3.373274326E0,-1.596343637E0,4.646489903E0
4.822977600E-1,-2.782796621E0,-3.349450588E0,-1.621389031E0,4.646684697E0
4.842966600E-1,-2.817005157E0,-3.319518089E0,-1.658651829E0,4.658953133E0
4.862964600E-1,-2.854267836E0,-3.290196657E0,-1.681864738E0,4.669144238E0
4.882962600E-1,-2.871983051E0,-3.276146650E0,-1.683697343E0,4.670787970E0
4.902959930E-1,-2.920241356E0,-3.257820606E0,-1.690416813E0,4.690278636E0
4.922957260E-1,-2.941621542E0,-3.243770838E0,-1.685529947E0,4.692142128E0
4.942954590E-1,-2.997210264E0,-3.230331659E0,-1.679421306E0,4.715799818E0
4.962951920E-1,-3.085785866E0,-3.232775211E0,-1.663538814E0,4.768676060E0
4.982954250E-1,-3.085785866E0,-3.232775211E0,-1.663538814E0,4.768676060E0
5.002951580E-1,-3.148705006E0,-3.270648956E0,-1.653764963E0,4.831813982E0
5.022949580E-1,-3.185967684E0,-3.290807486E0,-1.653764963E0,4.869778490E0
5.042946910E-1,-3.254384518E0,-3.338454962E0,-1.673312664E0,4.953410481E0
5.062944240E-1,-3.319747210E0,-3.380604506E0,-1.714240551E0,5.038633647E0
5.082941570E-1,-3.356399059E0,-3.403206587E0,-1.747227311E0,5.089207502E0
5.102938900E-1,-3.421761751E0,-3.450854063E0,-1.830304980E0,5.192962889E0
5.122936230E-1,-3.488346100E0,-3.498501539E0,-1.940871596E0,5.308017906E0
5.142933560E-1,-3.521943569E0,-3.523547173E0,-2.004401684E0,5.370018370E0
5.162930890E-1,-3.630066633E0,-3.584022760E0,-2.227367401E0,5.566306536E0
5.182928550E-1,-3.670994759E0,-3.601126909E0,-2.312277555E0,5.638345948E0
5.202926210E-1,-3.711922646E0,-3.615787745E0,-2.396577120E0,5.709279519E0
5.222923870E-1,-3.793778658E0,-3.643887520E0,-2.587777853E0,5.862360188E0
5.242921530E-1,-3.837150097E0,-3.657326698E0,-2.691624880E0,5.945132794E0
5.262919190E-1,-3.921449423E0,-3.685426474E0,-2.896875620E0,6.111630079E0
5.282916850E-1,-3.961766481E0,-3.698865414E0,-3.003166199E0,6.196467237E0
5.302914510E-1,-4.040568352E0,-3.725132704E0,-3.214525700E0,6.366787395E0
5.322912170E-1,-4.107152462E0,-3.743458509E0,-3.423441648E0,6.527031153E0
5.342910500E-1,-4.138917446E0,-3.752621651E0,-3.523623466E0,6.605204706E0
5.362908160E-1,-4.204279900E0,-3.778277874E0,-3.811341047E0,6.817453612E0
5.382910820E-1,-4.214054108E0,-3.791717052E0,-3.904192448E0,6.883174333E0
5.402908480E-1,-4.227492809E0,-3.801490784E0,-3.989102840E0,6.945211955E0
5.422906140E-1,-4.229936600E0,-3.829590559E0,-4.143651485E0,7.051806515E0
5.442912140E-1,-4.220162392E0,-3.844862223E0,-4.213290215E0,7.095389387E0
5.462909800E-1,-4.189619064E0,-3.890677214E0,-4.336074352E0,7.175779949E0
5.482907460E-1,-4.163352013E0,-3.918165922E0,-4.389219284E0,7.207688263E0
5.502905790E-1,-4.098600388E0,-3.997578621E0,-4.474740505E0,7.266530297E0
5.522903450E-1,-4.021020412E0,-4.133190632E0,-4.530940056E0,7.333572645E0
5.542901110E-1,-3.974594831E0,-4.212603092E0,-4.552931309E0,7.366994800E0
5.562898770E-1,-3.801109076E0,-4.449007988E0,-4.585917950E0,7.434564259E0
5.582892430E-1,-3.727805138E0,-4.534529209E0,-4.585917950E0,7.449102613E0
5.602890090E-1,-3.647781849E0,-4.621882915E0,-4.579809666E0,7.459408199E0
5.622887750E-1,-3.475517750E0,-4.808196545E0,-4.549877167E0,7.476587448E0
5.642886080E-1,-3.382055521E0,-4.907767773E0,-4.525442600E0,7.483589699E0
5.662884410E-1,-3.190243721E0,-5.114850998E0,-4.461301804E0,7.499504618E0
5.682882070E-1,-2.987436533E0,-5.335984230E0,-4.383111000E0,7.523906351E0
5.702879730E-1,-2.884200335E0,-5.441663742E0,-4.338517666E0,7.533462112E0
5.722877390E-1,-2.660623550E0,-5.662796974E0,-4.235281467E0,7.555381946E0
5.742875050E-1,-2.548835278E0,-5.776418209E0,-4.180303574E0,7.572219395E0
5.762872710E-1,-2.073582172E0,-6.229069233E0,-3.948174715E0,7.660883116E0
5.782870370E-1,-2.073582172E0,-6.229069233E0,-3.948174715E0,7.660883116E0
5.802868370E-1,-1.953241587E0,-6.346966267E0,-3.884033918E0,7.693169241E0
5.822865700E-1,-1.737606168E0,-6.559547424E0,-3.744145870E0,7.750197798E0
5.842863030E-1,-1.663691521E0,-6.701268196E0,-3.638466120E0,7.804697343E0
5.862860360E-1,-1.543351054E0,-6.901021004E0,-3.430771828E0,7.859784902E0
5.882857690E-1,-1.439503908E0,-6.992650986E0,-3.243236303E0,7.841423406E0
5.902855020E-1,-1.375973940E0,-7.016474724E0,-3.143665314E0,7.810688410E0
5.922852350E-1,-1.243416190E0,-7.038465500E0,-2.949410200E0,7.732082575E0
5.942849680E-1,-1.159116745E0,-7.020139694E0,-2.858391285E0,7.667875435E0
5.962847680E-1,-7.803803682E-1,-6.762354851E0,-2.552347660E0,7.270001047E0
5.982845010E-1,-7.803803682E-1,-6.762354851E0,-2.552347660E0,7.270001047E0
6.002842340E-1,-6.716463566E-1,-6.637127399E0,-2.488817692E0,7.120167305E0
6.022839670E-1,-4.505131245E-1,-6.332916260E0,-2.385581493E0,6.782314464E0
6.042837000E-1,-2.116648108E-1,-5.996940613E0,-2.300060272E0,6.426381249E0
6.062834330E-1,-7.666359097E-2,-5.799020290E0,-2.266462803E0,6.226665823E0
6.082831660E-1,2.098322064E-1,-5.342703819E0,-2.217593670E0,5.788457078E0
6.102828990E-1,3.668245673E-1,-5.096525192E0,-2.199878454E0,5.563146098E0
6.122826990E-1,6.942483783E-1,-4.561407089E0,-2.189493656E0,5.107083112E0
